event_time,beta,se,p,ci_lo,ci_hi
-4,-0.039072451452405656,0.061116160095524244,0.5240239948507548,-0.16026809039270548,0.08212318748789418
-3,-0.011508373063190445,0.04699723073528901,0.8070369456630695,-0.10470564524922847,0.08168889912284759
-2,-0.05043351964360235,0.03184560510800602,0.11630091726481284,-0.11358454962442593,0.012717510337221238
-1,0.0,0.0,,0.0,0.0
0,-0.0650278278101061,0.024984619755266026,0.010599072422970535,-0.1145732663682078,-0.015482389252004396
1,-0.030609524918799067,0.046794147984625695,0.5144709913537322,-0.12340407638930254,0.06218502655170441
2,-0.06140561590441579,0.03702720284449674,0.10025157457978295,-0.13483194864352888,0.012020716834697312
3,-0.05832129691954811,0.05365633453732195,0.2795754281300562,-0.16472382183736348,0.04808122799826725
4,-0.0781781603990626,0.06061090283609202,0.19996824559239879,-0.19837185523341072,0.04201553443528551
