outcome,regressor,beta,se,p,n
CIR(real invest),turnover L1,0.0249,0.007,0.0003,3082
CIR(real invest),turnover LEAD,-0.009,0.008,0.2613,3096
CIR(real invest),retirement L1,0.024,0.0119,0.0433,3082
wr_visibility(concrete),turnover L1,0.0103,0.004,0.0103,5005
wr_visibility(concrete),turnover LEAD,0.0008,0.0039,0.8353,4450
wr_visibility(concrete),retirement L1,0.0164,0.0064,0.0102,4611
vai_composite(naive),turnover L1,0.0016,0.0026,0.5427,5011
vai_composite(naive),turnover LEAD,0.0027,0.0025,0.2858,4455
vai_composite(naive),retirement L1,0.0037,0.0043,0.3931,4617
