city,visible,functional,vf_ratio,vf_total
省本级,3603,763,4.722,4366
杭州市,2800,408,6.863,3208
宁波市,1624,371,4.377,1995
义乌市,1554,379,4.1,1933
嘉兴市,1164,551,2.113,1715
台州市,1200,436,2.752,1636
安吉县,1263,322,3.922,1585
绍兴市,1308,204,6.412,1512
余杭区,1135,336,3.378,1471
长兴县,610,758,0.805,1368
柯桥区,890,474,1.878,1364
上虞区,843,494,1.706,1337
瑞安市,838,414,2.024,1252
鄞州区,871,274,3.179,1145
余姚市,504,590,0.854,1094
临海市,679,408,1.664,1087
海盐县,681,389,1.751,1070
桐庐县,600,457,1.313,1057
东阳市,681,354,1.924,1035
衢州市,660,282,2.34,942
萧山区,727,199,3.653,926
温州市,774,142,5.451,916
舟山市,740,165,4.485,905
海宁市,654,249,2.627,903
诸暨市,494,397,1.244,891
德清县,527,340,1.55,867
江山市,303,549,0.552,852
温岭市,474,369,1.285,843
衢江区,547,250,2.188,797
北仑区,441,334,1.32,775
桐乡市,454,296,1.534,750
乐清市,424,322,1.317,746
海曙区,478,258,1.853,736
临平区,583,149,3.913,732
平阳县,488,241,2.025,729
临安区,366,337,1.086,703
慈溪市,373,329,1.134,702
鹿城区,436,253,1.723,689
嵊州市,369,293,1.259,662
富阳区,418,227,1.841,645
金华市,500,140,3.571,640
杭州湾新区,464,170,2.729,634
永康市,410,221,1.855,631
吴兴区,443,182,2.434,625
杭州经济技术开发区,438,186,2.355,624
瓯海区,438,186,2.355,624
磐安县,528,70,7.543,598
宁海县,376,209,1.799,585
金东区,413,144,2.868,557
常山县,286,269,1.063,555
三门县,386,169,2.284,555
湖州市,327,227,1.441,554
丽水市,348,196,1.776,544
西湖区,423,119,3.555,542
江北区,348,180,1.933,528
镇海区,306,217,1.41,523
婺城区,348,172,2.023,520
金华经济技术开发区,367,142,2.585,509
苍南县,350,149,2.349,499
普陀区,248,251,0.988,499
南浔区,302,193,1.565,495
平湖市,321,174,1.845,495
奉化区,291,196,1.485,487
龙湾区,399,74,5.392,473
越城区,362,107,3.383,469
仙居县,247,221,1.118,468
嘉善县,324,139,2.331,463
象山县,266,177,1.503,443
龙游县,256,183,1.399,439
玉环市,308,127,2.425,435
淳安县,220,205,1.073,425
上城区,297,120,2.475,417
开化县,199,215,0.926,414
永嘉县,211,192,1.099,403
青田县,228,172,1.326,400
柯城区,166,230,0.722,396
缙云县,199,196,1.015,395
龙港市,334,55,6.073,389
龙泉市,208,176,1.182,384
兰溪市,220,164,1.341,384
浦江县,236,147,1.605,383
武义县,187,186,1.005,373
定海区,142,225,0.631,367
拱墅区,315,49,6.429,364
滨江区,263,82,3.207,345
文成县,236,97,2.433,333
建德市,197,131,1.504,328
天台县,141,183,0.77,324
莲都区,140,179,0.782,319
新昌县,221,93,2.376,314
湖州南太湖新区,193,84,2.298,277
遂昌县,159,111,1.432,270
泰顺县,149,117,1.274,266
洞头区,109,97,1.124,206
云和县,92,100,0.92,192
松阳县,106,81,1.309,187
景宁县,98,87,1.126,185
庆元县,100,79,1.266,179
国家高新区,129,43,3.0,172
岱山县,89,75,1.187,164
黄岩区,95,55,1.727,150
嵊泗县,56,86,0.651,142
椒江区,90,44,2.045,134
路桥区,65,54,1.204,119
金义新区,86,11,7.818,97
南湖区,33,32,1.031,65
江干区,54,8,6.75,62
钱塘区,31,26,1.192,57
