a_SO,a_star,delta,sigma,W_unitless,W_yuan_billion_per_year
0.4,0.5,0.09999999999999998,1.0,0.020833333333333325,5.833333333333331
0.4,0.5,0.09999999999999998,2.0,0.0,0.0
0.4,0.5,0.09999999999999998,4.0,-0.342592592592593,-95.92592592592604
0.4,0.52,0.12,1.0,0.03,8.4
0.4,0.52,0.12,2.0,0.019230769230769162,5.3846153846153655
0.4,0.52,0.12,4.0,-0.2525474026028758,-70.71327272880522
0.4,0.538,0.138,1.0,0.03967500000000001,11.109000000000002
0.4,0.538,0.138,2.0,0.042195722493120424,11.814802298073717
0.4,0.538,0.138,4.0,-0.12485769567942917,-34.960154790240175
0.4,0.55,0.15000000000000002,1.0,0.046875000000000014,13.125000000000005
0.4,0.55,0.15000000000000002,2.0,0.06060606060606055,16.969696969696955
0.4,0.55,0.15000000000000002,4.0,-0.013069424991677625,-3.659438997669735
0.4,0.57,0.16999999999999993,1.0,0.06020833333333328,16.85833333333332
0.4,0.57,0.16999999999999993,2.0,0.09710322317421438,27.188902488780027
0.4,0.57,0.16999999999999993,4.0,0.2262121377403994,63.339398567311825
0.4,0.6,0.19999999999999996,1.0,0.0833333333333333,23.333333333333325
0.4,0.6,0.19999999999999996,2.0,0.16666666666666696,46.66666666666674
0.4,0.6,0.19999999999999996,4.0,0.7330246913580241,205.24691358024674
0.42,0.5,0.08000000000000002,1.0,0.013136288998357969,3.6781609195402316
0.42,0.5,0.08000000000000002,2.0,0.0,0.0
0.42,0.5,0.08000000000000002,4.0,-0.2138619485315596,-59.88134558883668
0.42,0.52,0.10000000000000003,1.0,0.02052545155993433,5.747126436781612
0.42,0.52,0.10000000000000003,2.0,0.01602564102564097,4.487179487179471
0.42,0.52,0.10000000000000003,4.0,-0.13668525521519603,-38.271871460254886
0.42,0.538,0.11800000000000005,1.0,0.028579638752052567,8.002298850574718
0.42,0.538,0.11800000000000005,2.0,0.03608040039266802,10.102512109947046
0.42,0.538,0.11800000000000005,4.0,-0.02092102899981363,-5.857888119947817
0.42,0.55,0.13000000000000006,1.0,0.03468801313628903,9.71264367816093
0.42,0.55,0.13000000000000006,2.0,0.052525252525252863,14.707070707070804
0.42,0.55,0.13000000000000006,4.0,0.08257176245168774,23.120093486472566
0.42,0.57,0.14999999999999997,1.0,0.046182266009852195,12.931034482758616
0.42,0.57,0.14999999999999997,2.0,0.08567931456548372,23.990208078335446
0.42,0.57,0.14999999999999997,4.0,0.3070912033416242,85.98553693565478
0.42,0.6,0.18,1.0,0.06650246305418718,18.620689655172413
0.42,0.6,0.18,2.0,0.15000000000000036,42.0000000000001
0.42,0.6,0.18,4.0,0.7884528662832553,220.76680255931146
0.44,0.5,0.06,1.0,0.007305194805194804,2.045454545454545
0.44,0.5,0.06,2.0,0.0,0.0
0.44,0.5,0.06,4.0,-0.1180215888008096,-33.04604486422669
0.44,0.52,0.08000000000000002,1.0,0.012987012987012991,3.636363636363638
0.44,0.52,0.08000000000000002,2.0,0.012820512820512775,3.5897435897435765
0.44,0.52,0.08000000000000002,4.0,-0.05371339215779969,-15.039749804183915
0.44,0.538,0.09800000000000003,1.0,0.019488636363636375,5.456818181818185
0.44,0.538,0.09800000000000003,2.0,0.029965078292216063,8.390221921820498
0.44,0.538,0.09800000000000003,4.0,0.050125353349518065,14.03509893786506
0.44,0.55,0.11000000000000004,1.0,0.024553571428571445,6.875000000000005
0.44,0.55,0.11000000000000004,2.0,0.04444444444444473,12.444444444444525
0.44,0.55,0.11000000000000004,4.0,0.1453226655647697,40.69034635813551
0.44,0.57,0.12999999999999995,1.0,0.03429383116883114,9.60227272727272
0.44,0.57,0.12999999999999995,2.0,0.07425540595675217,20.79151366789061
0.44,0.57,0.12999999999999995,4.0,0.35507998461256474,99.42239569151812
0.44,0.6,0.15999999999999998,1.0,0.051948051948051924,14.545454545454538
0.44,0.6,0.15999999999999998,2.0,0.13333333333333375,37.33333333333345
0.44,0.6,0.15999999999999998,4.0,0.8109907568782031,227.07741192589685
0.45,0.5,0.04999999999999999,1.0,0.0050505050505050475,1.4141414141414133
0.45,0.5,0.04999999999999999,2.0,0.0,0.0
0.45,0.5,0.04999999999999999,4.0,-0.08135224296840438,-22.778628031153225
0.45,0.52,0.07,1.0,0.009898989898989899,2.771717171717172
0.45,0.52,0.07,2.0,0.0112179487179489,3.141025641025692
0.45,0.52,0.07,4.0,-0.02347829466207152,-6.573922505380025
0.45,0.538,0.08800000000000002,1.0,0.01564444444444445,4.380444444444446
0.45,0.538,0.08800000000000002,2.0,0.02690741724198986,7.534076827757161
0.45,0.538,0.08800000000000002,4.0,0.07439771049121457,20.83135893754008
0.45,0.55,0.10000000000000003,1.0,0.020202020202020214,5.65656565656566
0.45,0.55,0.10000000000000003,2.0,0.040404040404040664,11.313131313131386
0.45,0.55,0.10000000000000003,4.0,0.1654472830883411,46.325239264735515
0.45,0.57,0.11999999999999994,1.0,0.02909090909090906,8.145454545454536
0.45,0.57,0.11999999999999994,2.0,0.06854345165238662,19.192166462668254
0.45,0.57,0.11999999999999994,4.0,0.3678235412150652,102.99059154021826
0.45,0.6,0.14999999999999997,1.0,0.04545454545454543,12.72727272727272
0.45,0.6,0.14999999999999997,2.0,0.125,35.0
0.45,0.6,0.14999999999999997,4.0,0.8110088681427072,227.08248307995805
0.46,0.5,0.03999999999999998,1.0,0.0032206119162640863,0.9017713365539443
0.46,0.5,0.03999999999999998,2.0,0.0,0.0
0.46,0.5,0.03999999999999998,4.0,-0.05175106727068268,-14.490298835791153
0.46,0.52,0.06,1.0,0.007246376811594201,2.0289855072463765
0.46,0.52,0.06,2.0,0.009615384615385025,2.692307692307807
0.46,0.52,0.06,4.0,-0.00031136730102687693,-0.08718284428752554
0.46,0.538,0.07800000000000001,1.0,0.012246376811594205,3.4289855072463777
0.46,0.538,0.07800000000000001,2.0,0.02384975619176366,6.677931733693825
0.46,0.538,0.07800000000000001,4.0,0.09160189749822711,25.648531299503592
0.46,0.55,0.09000000000000002,1.0,0.016304347826086963,4.56521739130435
0.46,0.55,0.09000000000000002,2.0,0.0363636363636366,10.18181818181825
0.46,0.55,0.09000000000000002,4.0,0.178503730477229,49.98104453362412
0.46,0.57,0.10999999999999993,1.0,0.024355877616747148,6.819645732689202
0.46,0.57,0.10999999999999993,2.0,0.06283149734802151,17.592819257446024
0.46,0.57,0.10999999999999993,4.0,0.3734989276828822,104.57969975120702
0.46,0.6,0.13999999999999996,1.0,0.03945249597423508,11.046698872785822
0.46,0.6,0.13999999999999996,2.0,0.1166666666666667,32.66666666666668
0.46,0.6,0.13999999999999996,4.0,0.8039588092725274,225.10846659630766
0.48,0.5,0.020000000000000018,1.0,0.0008012820512820528,0.22435897435897478
0.48,0.5,0.020000000000000018,2.0,0.0,0.0
0.48,0.5,0.020000000000000018,4.0,-0.012834209949594833,-3.5935787858865536
0.48,0.52,0.040000000000000036,1.0,0.003205128205128211,0.8974358974358991
0.48,0.52,0.040000000000000036,2.0,0.0064102564102563875,1.7948717948717883
0.48,0.52,0.040000000000000036,4.0,0.02573699334670776,7.206358137078172
0.48,0.538,0.05800000000000005,1.0,0.006738782051282063,1.8868589743589779
0.48,0.538,0.05800000000000005,2.0,0.017734434091311257,4.965641545567152
0.48,0.538,0.05800000000000005,4.0,0.10572477743789621,29.60293768261094
0.48,0.55,0.07000000000000006,1.0,0.009815705128205145,2.7483974358974406
0.48,0.55,0.07000000000000006,2.0,0.028282828282828465,7.91919191919197
0.48,0.55,0.07000000000000006,4.0,0.18433113118064837,51.61271673058154
0.48,0.57,0.08999999999999997,1.0,0.01622596153846153,4.543269230769228
0.48,0.57,0.08999999999999997,2.0,0.05140758873928997,14.394124847001189
0.48,0.57,0.08999999999999997,4.0,0.36456420654416055,102.07797783236495
0.48,0.6,0.12,1.0,0.028846153846153848,8.076923076923077
0.48,0.6,0.12,2.0,0.10000000000000009,28.000000000000025
0.48,0.6,0.12,4.0,0.7695731974578126,215.48049528818754
0.5,0.5,0.0,1.0,0.0,0.0
0.5,0.5,0.0,2.0,0.0,0.0
0.5,0.5,0.0,4.0,0.0,0.0
0.5,0.52,0.020000000000000018,1.0,0.0008000000000000014,0.2240000000000004
0.5,0.52,0.020000000000000018,2.0,0.0032051282051281937,0.8974358974358941
0.5,0.52,0.020000000000000018,4.0,0.02570270662294849,7.196757854425577
0.5,0.538,0.038000000000000034,1.0,0.002888000000000005,0.8086400000000015
0.5,0.538,0.038000000000000034,2.0,0.011619111990859299,3.2533513574406037
0.5,0.538,0.038000000000000034,4.0,0.09376501000607318,26.254202801700487
0.5,0.55,0.050000000000000044,1.0,0.005000000000000009,1.4000000000000026
0.5,0.55,0.050000000000000044,2.0,0.020202020202020332,5.656565656565693
0.5,0.55,0.050000000000000044,4.0,0.16407588451257515,45.94124766352104
0.5,0.57,0.06999999999999995,1.0,0.009799999999999986,2.743999999999996
0.5,0.57,0.06999999999999995,2.0,0.03998368013055886,11.195430436556483
0.5,0.57,0.06999999999999995,4.0,0.3295468380339459,92.27311464950486
0.5,0.6,0.09999999999999998,1.0,0.01999999999999999,5.599999999999997
0.5,0.6,0.09999999999999998,2.0,0.08333333333333348,23.33333333333337
0.5,0.6,0.09999999999999998,4.0,0.7091049382716044,198.54938271604925
0.52,0.5,-0.020000000000000018,1.0,0.0008012820512820528,0.22435897435897478
0.52,0.5,-0.020000000000000018,2.0,0.0,0.0
0.52,0.5,-0.020000000000000018,4.0,-0.012834209949594833,-3.5935787858865536
0.52,0.52,0.0,1.0,0.0,0.0
0.52,0.52,0.0,2.0,0.0,0.0
0.52,0.52,0.0,4.0,0.0,0.0
0.52,0.538,0.018000000000000016,1.0,0.0006490384615384627,0.18173076923076956
0.52,0.538,0.018000000000000016,2.0,0.005503789890406896,1.5410611693139307
0.52,0.538,0.018000000000000016,4.0,0.05613682267506048,15.718310349016937
0.52,0.55,0.030000000000000027,1.0,0.0018028846153846187,0.5048076923076933
0.52,0.55,0.030000000000000027,2.0,0.0121212121212122,3.393939393939416
0.52,0.55,0.030000000000000027,4.0,0.11815221794531228,33.08262102468744
0.52,0.57,0.04999999999999993,1.0,0.005008012820512808,1.4022435897435863
0.52,0.57,0.04999999999999993,2.0,0.02855977152182776,7.9967360261117735
0.52,0.57,0.04999999999999993,4.0,0.2688610496245416,75.28109389487165
0.52,0.6,0.07999999999999996,1.0,0.012820512820512808,3.589743589743586
0.52,0.6,0.07999999999999996,2.0,0.06666666666666643,18.6666666666666
0.52,0.6,0.07999999999999996,4.0,0.6229682591862074,174.43111257213806
0.55,0.5,-0.050000000000000044,1.0,0.00505050505050506,1.4141414141414168
0.55,0.5,-0.050000000000000044,2.0,0.0,0.0
0.55,0.5,-0.050000000000000044,4.0,-0.08135224296840482,-22.77862803115335
0.55,0.52,-0.030000000000000027,1.0,0.0018181818181818214,0.50909090909091
0.55,0.52,-0.030000000000000027,2.0,-0.004807692307692291,-1.3461538461538414
0.55,0.52,-0.030000000000000027,4.0,-0.0878207780288407,-24.589817848075395
0.55,0.538,-0.01200000000000001,1.0,0.0002909090909090914,0.0814545454545456
0.55,0.538,-0.01200000000000001,2.0,-0.003669193260271264,-1.027374112875954
0.55,0.538,-0.01200000000000001,4.0,-0.04957217641587741,-13.880209396445673
0.55,0.55,0.0,1.0,0.0,0.0
0.55,0.55,0.0,2.0,0.0,0.0
0.55,0.55,0.0,4.0,0.0,0.0
0.55,0.57,0.019999999999999907,1.0,0.0008080808080808006,0.22626262626262417
0.55,0.57,0.019999999999999907,2.0,0.011423908608731104,3.198694410444709
0.55,0.57,0.019999999999999907,4.0,0.1285656489160174,35.99838169648487
0.55,0.6,0.04999999999999993,1.0,0.005050505050505038,1.4141414141414106
0.55,0.6,0.04999999999999993,2.0,0.04166666666666696,11.66666666666675
0.55,0.6,0.04999999999999993,4.0,0.4444965224636932,124.45902628983409
